ID,Version,Timestamp,CVEs
org.mockito:mockito-core:3.11.0,3.11.2000,1622728985000,No CVE
org.mockito:mockito-core:2.0.44-beta,2.0.44-beta,1457532964000,No CVE
org.mockito:mockito-core:2.0.80-beta,2.0.80-beta,1467730932000,No CVE
org.mockito:mockito-core:2.0.22-beta,2.0.22-beta,1435242896000,No CVE
org.mockito:mockito-core:2.0.27-beta,2.0.27-beta,1436334712000,No CVE
org.mockito:mockito-core:2.0.21-beta,2.0.21-beta,1435065536000,No CVE
org.mockito:mockito-core:4.3.0,4.3.2000,1643026751000,No CVE
org.mockito:mockito-core:2.2.24,2.2.24,1480086457000,No CVE
org.mockito:mockito-core:2.2.22,2.2.22,1479727030000,No CVE
org.mockito:mockito-core:2.2.21,2.2.21,1479459023000,No CVE
org.mockito:mockito-core:4.6.0,4.6.2000,1653679055000,No CVE
org.mockito:mockito-core:3.10.0,3.10.2000,1620814172000,No CVE
org.mockito:mockito-core:2.8.47,2.8.47,1497555502000,No CVE
org.mockito:mockito-core:2.0.50-beta,2.0.50-beta,1461230910000,No CVE
org.mockito:mockito-core:2.8.9,2.8.2009,1495114545000,No CVE
org.mockito:mockito-core:2.0.96-beta,2.0.96-beta,1470144359000,No CVE
org.mockito:mockito-core:2.0.81-beta,2.0.81-beta,1467837629000,No CVE
org.mockito:mockito-core:2.10.0,2.10.2000,1504885894000,No CVE
org.mockito:mockito-core:3.11.1,3.11.2001,1623407616000,No CVE
org.mockito:mockito-core:3.8.0,3.8.2000,1614020693000,No CVE
org.mockito:mockito-core:4.3.1,4.3.2001,1643124272000,No CVE
org.mockito:mockito-core:3.1.0,3.1.2000,1569930478000,No CVE
org.mockito:mockito-core:5.1.1,5.1.2001,1675118367000,No CVE
org.mockito:mockito-core:4.4.0,4.4.2000,1646751413000,No CVE
org.mockito:mockito-core:2.0.93-beta,2.0.93-beta,1469808559000,No CVE
org.mockito:mockito-core:5.1.0,5.1.2000,1674989033000,No CVE
org.mockito:mockito-core:2.18.0,2.18.0,1523103445000,No CVE
org.mockito:mockito-core:2.0.84-beta,2.0.84-beta,1468249621000,No CVE
org.mockito:mockito-core:5.8.0,5.8.2000,1701459095000,No CVE
org.mockito:mockito-core:2.2.25,2.2.25,1480097407000,No CVE
org.mockito:mockito-core:2.2.26,2.2.26,1480237517000,No CVE
org.mockito:mockito-core:2.2.27,2.2.27,1480507500000,No CVE
org.mockito:mockito-core:3.5.15,3.5.15,1603115806000,No CVE
org.mockito:mockito-core:3.5.13,3.5.13,1600954876000,No CVE
